datetime	AR	CO	MX	PE	CL	EC	VE	CR	GT	SV	UY	PY	PA	HN	NI	DO	BO	CU	PR	ES
2019-04-29 10:20:03	12457	NULL	NULL	NULL	NULL	3094	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 10:20:04	NULL	NULL	NULL	29955	18512	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 10:20:05	NULL	NULL	102072	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 11:20:02	12422	95838	101968	29936	18474	3092	21490	NULL	3765	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 11:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3434	3092	222	1146	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 11:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1805	NULL	NULL	NULL	NULL	NULL	3092	316	680	277	20	99	2598
2019-04-29 12:20:01	12403	95758	101865	29898	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 12:20:02	NULL	NULL	NULL	NULL	18445	3086	21219	1803	3760	3427	3086	221	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 12:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1145	3086	315	680	NULL	NULL	NULL	NULL
2019-04-29 12:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	277	20	99	2598
2019-04-29 13:20:01	12419	95656	NULL	29856	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 13:20:02	NULL	NULL	101765	NULL	18408	3079	21163	1802	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 13:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3753	3426	3079	221	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 13:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1146	3079	315	680	276	NULL	NULL	NULL
2019-04-29 13:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20	99	2598
2019-04-29 14:20:01	12429	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 14:20:02	NULL	95770	101321	29809	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 14:20:03	NULL	NULL	NULL	NULL	18454	3119	21251	1817	3775	3458	3119	221	1157	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 14:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3119	318	685	276	20	99	2598
2019-04-29 15:20:01	12435	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 15:20:02	NULL	95839	101353	29755	18465	3121	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 15:20:04	NULL	NULL	NULL	NULL	NULL	NULL	21288	1815	3768	3459	3121	219	1159	3121	317	685	276	20	99	2603
2019-04-29 16:20:01	12421	95852	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 16:20:02	NULL	NULL	101243	NULL	18548	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 16:20:03	NULL	NULL	NULL	29758	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 16:20:04	NULL	NULL	NULL	NULL	NULL	3114	21294	1816	3762	3455	3114	218	1164	3114	318	685	276	20	99	2601
2019-04-29 17:20:01	12549	95861	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 17:20:02	NULL	NULL	101280	29775	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 17:20:04	NULL	NULL	NULL	NULL	18569	3119	21312	1814	3757	3459	3119	220	1165	3119	NULL	685	NULL	NULL	NULL	NULL
2019-04-29 17:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	319	NULL	276	20	99	2600
2019-04-29 18:20:00	NULL	95777	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 18:20:01	12542	NULL	101373	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 18:20:03	NULL	NULL	NULL	29763	18567	3126	21250	1814	3755	3458	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 19:20:03	12585	95840	101481	29798	18553	3128	21267	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 19:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1814	3752	3457	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 19:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3128	220	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
